t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,frame
142.0,6001.678519226704,-2260.286280233555,1045.0227595846045,-7.602634148926229,-1.6355208477263925,-1.190487910262752,geocentric
144.0,5986.455789969949,-2263.550737232426,1042.6387431723592,-7.620105615628681,-1.6289278093881494,-1.1935304615279885,geocentric
146.0,5971.198054582618,-2266.8019579392935,1040.2486298709237,-7.637640354911864,-1.6222844730489752,-1.1965848141915938,geocentric
148.0,5955.9051860655945,-2270.039841259925,1037.8523959887607,-7.655238821483406,-1.6155903393803654,-1.1996510571489893,geocentric
150.0,5940.57705650581,-2273.264285094808,1035.450017655607,-7.6729014745975475,-1.6088449024121771,-1.2027292802333143,geocentric
152.0,5925.213537067093,-2276.4751863257557,1033.041470820585,-7.6906287781127345,-1.6020476494223115,-1.2058195742280815,geocentric
154.0,5909.814497980902,-2279.6724408022915,1030.6267312502882,-7.708421200550086,-1.5951980608241967,-1.2089220308800386,geocentric
156.0,5894.379808536942,-2282.855943327806,1028.2057745268432,-7.726279215152732,-1.5882956100520202,-1.2120367429122378,geocentric
158.0,5878.909337073658,-2286.0255876454817,1025.778576045943,-7.744203299946043,-1.5813397634436581,-1.2151638040373214,geocentric
160.0,5863.402950968614,-2289.181266423981,1023.3451110148544,-7.762193937798765,-1.5743299801212467,-1.2183033089710216,geocentric
162.0,5847.86051662874,-2292.3228712428936,1020.9053544503981,-7.780251616485078,-1.5672657118693425,-1.2214553534458845,geocentric
