t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,frame
1209000.0,101688883.56245,-18872630.880508557,2010743.802694192,-21.266223062513532,27.351744660355365,-0.10583320795757634,heliocentric
1210000.0,101667611.2426028,-18845278.00475669,2010637.8489203881,-21.278417733584895,27.354006579801638,-0.10607436772553219,heliocentric
1211000.0,101646326.72477841,-18817922.867876623,2010531.6539025588,-21.290619017928652,27.356266916245907,-0.1063156960396989,heliocentric
1212000.0,101625030.00236036,-18790565.471452873,2010425.2174720652,-21.302826922010205,27.358525666661432,-0.10655719308472783,heliocentric
1213000.0,101603721.06872566,-18763205.817072988,2010318.5394600842,-21.31504145230358,27.36078282801527,-0.10679885904554584,heliocentric
1214000.0,101582399.91724485,-18735843.906327546,2010211.6196976071,-21.327262615291435,27.363038397268255,-0.1070406941073558,heliocentric
1215000.0,101561066.54128201,-18708479.740810167,2010104.4580154405,-21.339490417465086,27.365292371374988,-0.10728269845563704,heliocentric
1216000.0,101539720.9341947,-18681113.322117526,2009997.0542442051,-21.351724865324513,27.367544747283823,-0.10752487227614595,heliocentric
1217000.0,101518363.08933397,-18653744.65184935,2009889.4082143356,-21.363965965378373,27.36979552193685,-0.10776721575491645,heliocentric
1218000.0,101496993.00004438,-18626373.731608428,2009781.5197560803,-21.37621372414402,27.37204469226988,-0.10800972907826052,heliocentric
1219000.0,101475610.65966395,-18599000.56300061,2009673.388699502,-21.388468148147513,27.37429225521243,-0.1082524124327687,heliocentric
1220000.0,101454216.06152417,-18571625.147634823,2009565.0148744755,-21.400729243923642,27.376538207687716,-0.10849526600531065,heliocentric
1221000.0,101432809.19895,-18544247.487123083,2009456.3981106896,-21.41299701801593,27.378782546612626,-0.10873828998303561,heliocentric
1222000.0,101411390.06525984,-18516867.583080478,2009347.5382376453,-21.42527147697665,27.38102526889772,-0.108981484553373,heliocentric
1223000.0,101389958.65376556,-18489485.4371252,2009238.435084656,-21.43755262736685,27.383266371447196,-0.10922484990403288,heliocentric
